                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.4617,                0.62634,                 1.0365,                0.79794,                 0.7711,                0.82672,                0.70567,                0.60528,                 1.0024,                 1.1464,             0.00035416,             0.00035416,             0.00035416
                     36,                0.46373,                0.63412,                 1.0258,                0.75871,                0.82988,                0.83852,                0.71695,                 0.5888,                0.95636,                 1.1405,             0.00034895,             0.00034895,             0.00034895
                     37,                0.46138,                0.60295,                 1.0315,                0.78056,                0.72603,                0.80844,                0.68988,                0.62642,                 1.0941,                  1.183,             0.00034374,             0.00034374,             0.00034374
                     38,                0.46864,                0.60268,                 1.0322,                 0.7718,                0.76262,                0.81179,                0.69245,                0.61428,                 1.0122,                 1.1673,             0.00033853,             0.00033853,             0.00033853
                     39,                0.44813,                0.57667,                 1.0256,                0.81332,                0.76593,                0.83647,                0.70727,                0.60778,                0.90569,                 1.1691,             0.00033333,             0.00033333,             0.00033333
                     40,                0.44233,                0.56418,                 1.0217,                0.79366,                0.74082,                0.83276,                0.70198,                0.62622,                0.95955,                  1.205,             0.00032812,             0.00032812,             0.00032812
                     41,                0.46125,                0.56735,                 1.0376,                0.82528,                0.77514,                0.84466,                 0.7036,                0.63351,                 0.8804,                 1.2161,             0.00032291,             0.00032291,             0.00032291
                     42,                 0.4441,                0.54216,                  1.017,                0.81276,                0.78531,                0.85458,                0.73297,                0.61102,                0.86107,                 1.1673,              0.0003177,              0.0003177,              0.0003177
                     43,                0.44235,                0.56442,                 1.0214,                0.79687,                0.79213,                0.84975,                0.73605,                0.60543,                 0.8587,                 1.1799,              0.0003125,              0.0003125,              0.0003125
                     44,                0.44789,                0.53702,                 1.0183,                 0.8111,                0.77435,                0.84426,                0.71039,                0.63056,                0.92656,                 1.1845,             0.00030729,             0.00030729,             0.00030729
                     45,                0.43807,                0.54512,                 1.0154,                0.81998,                0.77001,                0.84176,                0.73956,                0.55524,                0.89134,                  1.101,             0.00030208,             0.00030208,             0.00030208
                     46,                0.43613,                0.53586,                 1.0099,                0.82534,                0.78206,                0.85134,                0.72945,                0.56591,                0.84276,                 1.1163,             0.00029687,             0.00029687,             0.00029687
                     47,                0.43718,                0.54053,                 1.0142,                0.82318,                 0.7779,                0.86019,                0.73168,                 0.5751,                0.84915,                 1.1275,             0.00029167,             0.00029167,             0.00029167
                     48,                0.43821,                0.52114,                 1.0121,                0.83158,                0.78205,                0.85653,                0.73594,                0.57716,                 0.8483,                 1.1406,             0.00028646,             0.00028646,             0.00028646
                     49,                0.42566,                0.50792,                0.99742,                0.81488,                0.83697,                0.86612,                  0.745,                0.56266,                0.81549,                 1.1154,             0.00028125,             0.00028125,             0.00028125
                     50,                0.42138,                0.48182,                 1.0023,                0.84303,                0.77147,                0.86104,                0.73836,                0.58174,                0.83103,                 1.1558,             0.00027604,             0.00027604,             0.00027604
                     51,                0.41642,                0.49553,                 1.0044,                0.84721,                0.77954,                0.85229,                 0.7305,                0.61258,                0.84107,                 1.1651,             0.00027084,             0.00027084,             0.00027084
                     52,                0.42264,                0.50459,                 1.0049,                0.79929,                 0.8363,                0.87277,                0.73841,                 0.6166,                0.78136,                 1.1834,             0.00026563,             0.00026563,             0.00026563
                     53,                0.42464,                0.50223,                 1.0078,                0.84269,                0.77111,                0.84176,                0.72943,                0.56226,                0.86777,                 1.1192,             0.00026042,             0.00026042,             0.00026042
                     54,                0.41926,                 0.4744,                 1.0032,                0.79896,                0.78827,                0.84564,                0.72917,                0.59397,                0.85929,                  1.157,             0.00025522,             0.00025522,             0.00025522
                     55,                0.41545,                0.48085,                 1.0041,                 0.8322,                0.78099,                0.85945,                 0.7487,                0.58371,                 0.7786,                 1.1246,             0.00025001,             0.00025001,             0.00025001
                     56,                0.41773,                0.47773,                 1.0005,                0.82511,                0.76399,                0.83753,                0.73175,                0.58913,                0.85256,                 1.1531,              0.0002448,              0.0002448,              0.0002448
                     57,                0.41659,                0.46938,                 1.0074,                0.80601,                0.84044,                0.87319,                0.76381,                0.55613,                0.77429,                 1.1134,             0.00023959,             0.00023959,             0.00023959
                     58,                0.40631,                0.45007,                 1.0005,                0.88232,                0.76882,                0.85153,                0.73265,                0.57373,                0.80868,                 1.1262,             0.00023439,             0.00023439,             0.00023439
                     59,                0.39391,                0.45866,                0.99525,                0.86119,                0.78019,                0.86679,                 0.7456,                0.58583,                0.79536,                 1.1287,             0.00022918,             0.00022918,             0.00022918
                     60,                0.41256,                0.46091,                 1.0018,                 0.8129,                0.78427,                0.83937,                0.73172,                0.57734,                0.88599,                 1.1346,             0.00022397,             0.00022397,             0.00022397
                     61,                0.39548,                0.44898,                0.99154,                 0.8497,                0.78326,                0.86601,                0.74856,                0.58179,                0.76573,                 1.1515,             0.00021876,             0.00021876,             0.00021876
                     62,                0.40181,                0.44589,                  0.996,                  0.832,                0.83197,                0.88082,                0.77416,                0.55196,                0.73278,                  1.107,             0.00021356,             0.00021356,             0.00021356
                     63,                0.39178,                0.42083,                0.98509,                0.82343,                0.82944,                0.87034,                0.75479,                0.56421,                0.73439,                 1.1163,             0.00020835,             0.00020835,             0.00020835
                     64,                0.38523,                0.43151,                0.98003,                0.83157,                0.82092,                0.85512,                0.74897,                0.55486,                0.77737,                 1.1147,             0.00020314,             0.00020314,             0.00020314
                     65,                0.38539,                0.41781,                0.98882,                0.82667,                0.84343,                0.87123,                0.75851,                0.56066,                0.75247,                 1.1311,             0.00019793,             0.00019793,             0.00019793
                     66,                 0.3885,                0.42925,                0.98041,                0.80373,                0.84915,                 0.8752,                0.75788,                0.56709,                 0.7327,                 1.1357,             0.00019273,             0.00019273,             0.00019273
                     67,                0.38486,                0.41546,                0.98948,                0.81933,                0.80401,                0.86936,                0.75041,                0.56754,                0.77893,                 1.1366,             0.00018752,             0.00018752,             0.00018752
                     68,                0.37941,                0.41215,                0.97939,                0.83151,                0.81501,                0.85898,                0.75421,                0.55842,                0.74684,                 1.1212,             0.00018231,             0.00018231,             0.00018231
                     69,                0.36791,                 0.3992,                0.97461,                0.79412,                0.82774,                0.87858,                0.77684,                0.52136,                0.71604,                 1.0963,              0.0001771,              0.0001771,              0.0001771
                     70,                0.37432,                0.39806,                0.98616,                0.86085,                 0.8452,                0.88629,                0.78072,                0.54345,                 0.7279,                 1.1016,              0.0001719,              0.0001719,              0.0001719
                     71,                0.38014,                0.39917,                0.98462,                0.84629,                  0.825,                0.87576,                0.76642,                0.53463,                0.74359,                    1.1,             0.00016669,             0.00016669,             0.00016669
                     72,                0.38073,                0.38589,                0.97868,                0.82459,                0.81716,                0.86466,                0.76084,                0.54641,                0.75663,                 1.1183,             0.00016148,             0.00016148,             0.00016148
                     73,                0.37289,                0.39161,                0.97717,                0.85137,                0.80202,                0.86261,                0.76191,                0.53933,                0.75648,                 1.1045,             0.00015627,             0.00015627,             0.00015627
                     74,                0.37877,                 0.4062,                0.98086,                0.82053,                0.84611,                0.87664,                0.76707,                0.54985,                0.71663,                 1.1143,             0.00015107,             0.00015107,             0.00015107
                     75,                0.36886,                 0.3857,                0.97707,                0.86234,                 0.8227,                0.87795,                0.76972,                0.52931,                0.70153,                 1.0906,             0.00014586,             0.00014586,             0.00014586
                     76,                0.35816,                0.38416,                  0.969,                0.85545,                0.81369,                0.87087,                0.76317,                0.55861,                0.73182,                 1.1333,             0.00014065,             0.00014065,             0.00014065
                     77,                0.35339,                0.37328,                 0.9672,                0.86213,                0.80303,                0.87413,                0.76264,                0.54483,                0.74909,                 1.1175,             0.00013544,             0.00013544,             0.00013544
                     78,                0.35704,                0.37321,                0.97511,                0.87125,                0.78988,                0.86811,                0.76359,                0.55318,                0.72081,                 1.1296,             0.00013024,             0.00013024,             0.00013024
                     79,                0.36028,                0.36527,                 0.9736,                0.87979,                0.82317,                0.88455,                0.77688,                0.54979,                0.68017,                 1.1173,             0.00012503,             0.00012503,             0.00012503
                     80,                  0.352,                0.36907,                0.96501,                0.88084,                0.81012,                0.87294,                0.76058,                0.56076,                0.70992,                 1.1281,             0.00011982,             0.00011982,             0.00011982
                     81,                0.35371,                0.35917,                0.96949,                0.83282,                0.83968,                0.87591,                0.78123,                0.52719,                0.71701,                 1.0931,             0.00011462,             0.00011462,             0.00011462
                     82,                0.35335,                 0.3445,                0.97182,                0.84071,                0.83205,                0.87456,                0.77358,                0.53222,                 0.7272,                 1.1081,             0.00010941,             0.00010941,             0.00010941
                     83,                0.36026,                0.36565,                0.97382,                0.82221,                 0.8393,                0.87052,                0.76138,                0.54939,                 0.7061,                 1.1353,              0.0001042,              0.0001042,              0.0001042
                     84,                0.34574,                 0.3534,                0.96501,                0.85874,                0.82706,                0.86881,                0.76634,                0.54331,                0.73078,                 1.1134,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     85,                0.34733,                0.34481,                 0.9631,                 0.8713,                0.81047,                0.87674,                0.78207,                0.52958,                0.70402,                 1.1006,             9.3786e-05,             9.3786e-05,             9.3786e-05
                     86,                0.33721,                 0.3468,                0.95915,                0.87745,                0.80705,                0.88014,                0.78465,                0.51519,                0.71763,                 1.0962,             8.8578e-05,             8.8578e-05,             8.8578e-05
