                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  0.862,                 1.8571,                 1.5011,                0.28186,                0.44731,                0.35709,                0.26463,                 1.0306,                 1.9117,                 1.7564,               0.006634,               0.006634,               0.006634
                     37,                0.87033,                 1.8276,                 1.5041,                 0.3708,                 0.4511,                0.39348,                0.29203,                0.95672,                 1.9295,                 1.7029,               0.006535,               0.006535,               0.006535
                     38,                0.82437,                 1.7615,                 1.4601,                0.50084,                0.35309,                0.36245,                0.27492,                 1.0196,                 1.9681,                 1.7477,               0.006436,               0.006436,               0.006436
                     39,                0.85714,                 1.7784,                 1.4838,                0.35756,                0.41087,                0.37385,                 0.2733,                 1.0272,                 2.0321,                 1.7917,               0.006337,               0.006337,               0.006337
                     40,                0.83839,                 1.7893,                 1.4713,                0.51183,                 0.4185,                0.41668,                0.31704,                 1.0243,                 1.8177,                 1.7234,               0.006238,               0.006238,               0.006238
                     41,                0.81012,                 1.7061,                 1.4434,                0.44968,                0.44562,                 0.4363,                0.32815,                0.98722,                   1.78,                 1.7259,               0.006139,               0.006139,               0.006139
                     42,                0.84291,                 1.7429,                 1.4755,                0.50201,                0.40105,                0.44891,                 0.3341,                0.97952,                 1.7223,                 1.7028,                0.00604,                0.00604,                0.00604
                     43,                0.82408,                 1.7151,                 1.4746,                0.50074,                0.46504,                0.46994,                 0.3521,                0.96568,                 1.6922,                  1.705,               0.005941,               0.005941,               0.005941
                     44,                0.81198,                 1.6535,                 1.4626,                0.38631,                0.50894,                0.46126,                0.34675,                0.96302,                  1.711,                 1.6873,               0.005842,               0.005842,               0.005842
                     45,                 0.8131,                 1.6674,                 1.4517,                0.42382,                0.51363,                 0.4601,                0.35343,                0.99462,                 1.7649,                 1.7453,               0.005743,               0.005743,               0.005743
                     46,                0.83318,                 1.6382,                 1.4624,                0.47316,                0.48238,                0.42595,                0.31673,                0.96818,                 1.9674,                 1.7073,               0.005644,               0.005644,               0.005644
                     47,                0.79108,                  1.621,                 1.4353,                 0.5715,                0.43008,                0.47555,                0.35329,                0.97242,                 1.6617,                 1.6642,               0.005545,               0.005545,               0.005545
                     48,                0.82688,                 1.6695,                 1.4612,                0.32073,                0.52246,                 0.4152,                0.30866,                  1.003,                 1.9002,                   1.77,               0.005446,               0.005446,               0.005446
                     49,                0.77737,                 1.5776,                 1.4303,                0.39991,                0.49191,                0.48682,                0.36423,                0.95437,                 1.5907,                 1.6667,               0.005347,               0.005347,               0.005347
                     50,                0.78075,                 1.5203,                 1.4171,                0.52759,                0.51868,                0.51654,                0.38939,                0.92687,                 1.5529,                 1.6512,               0.005248,               0.005248,               0.005248
                     51,                0.77192,                 1.5343,                 1.4176,                0.41724,                 0.5005,                0.47815,                0.35405,                0.93623,                 1.7337,                 1.6529,               0.005149,               0.005149,               0.005149
                     52,                0.78552,                 1.5477,                  1.426,                0.39806,                0.58424,                0.51412,                0.37748,                0.96457,                 1.6276,                 1.6749,                0.00505,                0.00505,                0.00505
                     53,                0.79576,                  1.537,                 1.4514,                0.53724,                0.46748,                0.47164,                0.34815,                0.97049,                 1.7545,                   1.69,               0.004951,               0.004951,               0.004951
                     54,                0.79667,                 1.5509,                 1.4313,                0.55498,                0.47049,                0.51638,                0.38573,                 0.9422,                 1.5221,                 1.6704,               0.004852,               0.004852,               0.004852
                     55,                0.76533,                 1.5245,                 1.4206,                0.58857,                0.49832,                0.53968,                0.40975,                 0.9089,                 1.4917,                 1.6288,               0.004753,               0.004753,               0.004753
                     56,                0.76542,                 1.4872,                 1.4124,                0.46207,                0.48006,                0.50355,                0.36826,                0.95679,                 1.7003,                 1.6974,               0.004654,               0.004654,               0.004654
                     57,                0.76773,                 1.4607,                  1.411,                0.46058,                0.58086,                0.57402,                0.43775,                0.88161,                 1.4321,                 1.5948,               0.004555,               0.004555,               0.004555
                     58,                0.74651,                 1.4261,                 1.3725,                0.44852,                0.53017,                0.54778,                0.41353,                0.90902,                 1.5215,                  1.633,               0.004456,               0.004456,               0.004456
                     59,                0.75809,                 1.4256,                  1.403,                0.49646,                0.53743,                0.58026,                0.43527,                0.92831,                  1.435,                 1.6467,               0.004357,               0.004357,               0.004357
                     60,                0.75338,                 1.4202,                 1.4039,                 0.4871,                0.52334,                0.53848,                0.40255,                0.92943,                 1.5501,                 1.6769,               0.004258,               0.004258,               0.004258
                     61,                0.78316,                 1.4554,                 1.4358,                0.43946,                0.56603,                0.55465,                0.41885,                0.94682,                 1.5373,                 1.6738,               0.004159,               0.004159,               0.004159
                     62,                 0.7445,                 1.4138,                 1.3789,                0.47695,                0.57249,                0.55986,                0.42708,                 0.8823,                 1.4985,                 1.5923,                0.00406,                0.00406,                0.00406
                     63,                0.72695,                 1.3811,                  1.376,                0.44266,                0.53044,                0.52769,                0.40953,                0.90434,                 1.5646,                 1.6337,               0.003961,               0.003961,               0.003961
                     64,                0.73192,                 1.3361,                 1.3781,                0.50507,                0.48544,                0.54838,                0.42589,                0.89087,                  1.521,                  1.605,               0.003862,               0.003862,               0.003862
                     65,                0.71182,                 1.3253,                 1.3684,                0.50746,                0.49146,                0.54671,                0.42312,                0.89057,                 1.4985,                 1.6398,               0.003763,               0.003763,               0.003763
