                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75945,                 3.7571,                 1.2894,                 0.6536,                0.10006,                0.18517,                0.16028,                0.71223,                  3.296,                 1.2558,             0.00015663,             0.00015663,             0.00015663
                      2,                0.77418,                 2.7743,                 1.2948,                0.51837,                0.41682,                0.41068,                0.33071,                0.79323,                 2.3389,                 1.3472,             0.00030489,             0.00030489,             0.00030489
                      3,                0.75421,                  2.213,                 1.2543,                0.60235,                0.52757,                0.52733,                0.39978,                 0.9576,                 2.3908,                  1.562,             0.00044268,             0.00044268,             0.00044268
                      4,                0.74305,                 1.9459,                  1.255,                0.64292,                0.52681,                0.55916,                0.44674,                0.78145,                 1.9621,                 1.3164,             0.00042888,             0.00042888,             0.00042888
                      5,                0.74473,                 1.7331,                 1.2526,                0.69911,                0.55565,                0.61742,                0.48518,                0.82805,                 1.8545,                 1.3911,             0.00042888,             0.00042888,             0.00042888
                      6,                0.70949,                 1.6173,                 1.2114,                0.69719,                0.55384,                0.59827,                0.48193,                0.80449,                 1.8014,                 1.3468,             0.00041317,             0.00041317,             0.00041317
                      7,                0.67859,                 1.5384,                    1.2,                0.83061,                0.57548,                0.67567,                0.55979,                0.75187,                 1.6195,                 1.2918,             0.00039746,             0.00039746,             0.00039746
                      8,                 0.6667,                 1.4413,                 1.1819,                0.76594,                0.61718,                0.67541,                0.56421,                0.71561,                 1.5596,                 1.2699,             0.00038175,             0.00038175,             0.00038175
                      9,                0.65581,                 1.3354,                 1.1822,                0.76597,                0.55522,                0.64684,                0.54078,                0.76929,                 1.7043,                 1.3183,             0.00036604,             0.00036604,             0.00036604
                     10,                0.63417,                  1.288,                 1.1595,                0.72702,                 0.6494,                0.68959,                0.57626,                0.70024,                 1.4582,                 1.2383,             0.00035034,             0.00035034,             0.00035034
                     11,                0.61104,                  1.216,                 1.1413,                0.78447,                0.69857,                0.71514,                0.60039,                0.70313,                 1.3076,                 1.2543,             0.00033463,             0.00033463,             0.00033463
                     12,                0.59255,                 1.1614,                 1.1306,                0.83175,                0.65036,                0.71906,                0.60115,                0.72104,                  1.221,                 1.2668,             0.00031892,             0.00031892,             0.00031892
                     13,                0.57774,                 1.1074,                 1.1227,                0.70429,                0.64701,                0.69764,                0.59306,                0.72782,                 1.3151,                 1.2592,             0.00030321,             0.00030321,             0.00030321
                     14,                 0.5822,                 1.0892,                 1.1224,                0.77716,                0.66319,                0.71177,                0.60281,                0.69691,                 1.3108,                  1.237,              0.0002875,              0.0002875,              0.0002875
                     15,                0.57917,                  1.065,                 1.1201,                0.83482,                 0.6632,                0.73758,                0.62935,                0.66462,                 1.1835,                 1.2252,              0.0002718,              0.0002718,              0.0002718
                     16,                0.57177,                0.99837,                 1.1202,                0.82996,                0.69348,                0.73063,                0.61911,                0.69894,                 1.1687,                 1.2795,             0.00025609,             0.00025609,             0.00025609
                     17,                0.54651,                0.96331,                 1.1019,                0.78063,                0.64561,                0.71863,                0.61857,                0.65935,                 1.2152,                 1.2326,             0.00024038,             0.00024038,             0.00024038
                     18,                0.56034,                0.98731,                  1.114,                0.84154,                0.66289,                0.72256,                0.62693,                0.64521,                 1.1075,                 1.1899,             0.00022467,             0.00022467,             0.00022467
                     19,                0.54449,                0.90217,                 1.0952,                0.74275,                0.67956,                0.74348,                0.63591,                0.65381,                 1.0962,                 1.2225,             0.00020896,             0.00020896,             0.00020896
                     20,                0.54233,                0.86906,                 1.0877,                 0.8278,                0.72821,                0.75204,                0.64862,                0.63529,                 1.0692,                 1.1831,             0.00019326,             0.00019326,             0.00019326
                     21,                0.50138,                 1.0938,                 1.0941,                 0.7483,                0.72541,                0.74135,                0.63979,                0.65791,                 1.2159,                 1.2142,             0.00017755,             0.00017755,             0.00017755
                     22,                0.45665,                 0.9666,                  1.064,                0.73358,                 0.7274,                0.74067,                0.63808,                 0.6483,                 1.1518,                 1.2007,             0.00016184,             0.00016184,             0.00016184
                     23,                0.43173,                0.91354,                  1.037,                0.77711,                0.72594,                0.76271,                 0.6662,                0.62233,                 1.0543,                 1.1796,             0.00014613,             0.00014613,             0.00014613
                     24,                0.41451,                0.85493,                 1.0225,                0.87061,                0.72208,                0.76321,                0.67141,                0.61283,                0.96515,                 1.1822,             0.00013042,             0.00013042,             0.00013042
                     25,                0.40656,                0.82311,                 1.0058,                0.78521,                0.74413,                0.76439,                0.67186,                0.60704,                0.98865,                 1.1608,             0.00011472,             0.00011472,             0.00011472
                     26,                0.39445,                0.77875,                 1.0065,                0.85111,                0.73918,                0.76711,                0.67003,                0.61309,                 0.9497,                 1.1715,             9.9008e-05,             9.9008e-05,             9.9008e-05
                     27,                0.37758,                0.76435,                 1.0068,                0.82211,                0.72764,                0.77022,                0.67799,                0.60689,                0.94532,                 1.1659,               8.33e-05,               8.33e-05,               8.33e-05
                     28,                0.36714,                0.74268,                 0.9778,                0.83508,                0.72374,                0.76638,                 0.6777,                0.58992,                 0.9207,                 1.1435,             6.7592e-05,             6.7592e-05,             6.7592e-05
                     29,                0.35642,                0.70094,                0.97498,                0.82772,                0.72421,                0.76541,                 0.6742,                0.60371,                0.92936,                 1.1588,             5.1884e-05,             5.1884e-05,             5.1884e-05
                     30,                0.36315,                0.69753,                0.96987,                0.83693,                0.72952,                 0.7734,                0.67939,                0.60341,                0.89869,                 1.1685,             3.6176e-05,             3.6176e-05,             3.6176e-05
