                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7977,                 1.4394,                 1.3291,                0.01248,                0.09398,                0.00437,                0.00164,                 3.7784,                    inf,                 10.383,                0.00325,                0.00325,                0.00325
                      2,                 1.3015,                 2.4868,                 1.7285,                0.13334,                0.00215,                  1e-05,                      0,                 5.1876,                    inf,                 17.471,              0.0065182,              0.0065182,              0.0065182
                      3,                 1.2399,                 2.3655,                 1.6711,                  9e-05,                0.00548,                  5e-05,                  1e-05,                 4.4665,                 11.178,                 7.0665,              0.0097203,              0.0097203,              0.0097203
                      4,                 1.2162,                 2.3362,                 1.6539,                0.47516,                0.02684,                0.00168,                0.00043,                 3.5447,                 14.678,                 5.3491,               0.009703,               0.009703,               0.009703
                      5,                 1.1671,                 2.2618,                 1.5965,                0.17281,                0.14835,                0.06713,                0.03729,                 1.9495,                 4.3727,                 2.8262,               0.009703,               0.009703,               0.009703
                      6,                 1.1012,                 2.1117,                 1.5411,                0.38208,                0.22502,                0.16878,                0.10734,                 1.5725,                 4.1171,                 2.3778,               0.009604,               0.009604,               0.009604
                      7,                 1.0486,                 1.9833,                 1.5034,                0.22447,                0.42024,                0.25052,                   0.16,                 1.4361,                 3.0251,                 2.1747,               0.009505,               0.009505,               0.009505
                      8,                 1.0938,                 1.9954,                  1.526,                0.32834,                0.36412,                0.27221,                0.19387,                 1.2733,                 2.5724,                  1.982,               0.009406,               0.009406,               0.009406
                      9,                 1.0163,                 1.8656,                 1.4709,                0.24693,                0.24838,                0.19395,                0.12981,                 1.3226,                 3.0807,                 2.0426,               0.009307,               0.009307,               0.009307
                     10,                0.98431,                 1.8378,                 1.4355,                0.29499,                 0.2291,                0.18109,                0.11121,                 1.6059,                  3.182,                  2.209,               0.009208,               0.009208,               0.009208
                     11,                0.94121,                 1.7769,                 1.4092,                0.37659,                0.34356,                0.31999,                 0.2274,                 1.4281,                 2.5889,                 2.0909,               0.009109,               0.009109,               0.009109
                     12,                0.97953,                 1.7212,                 1.4465,                0.37444,                0.39553,                 0.3148,                0.21304,                 1.3538,                 2.4481,                  2.004,                0.00901,                0.00901,                0.00901
                     13,                0.96644,                 1.7038,                 1.4375,                0.45221,                0.44343,                 0.4197,                0.29724,                 1.1078,                 2.0442,                 1.7884,               0.008911,               0.008911,               0.008911
                     14,                 0.9733,                 1.6953,                 1.4393,                0.42153,                0.45326,                0.42685,                0.29736,                 1.1773,                 2.1269,                 1.8335,               0.008812,               0.008812,               0.008812
                     15,                0.92808,                 1.6151,                 1.4033,                0.50376,                0.31881,                0.40976,                0.27406,                 1.2929,                 2.2785,                 1.9826,               0.008713,               0.008713,               0.008713
                     16,                0.91701,                 1.5695,                  1.394,                0.28028,                 0.4286,                0.33563,                 0.2362,                 1.1353,                  2.384,                 1.7902,               0.008614,               0.008614,               0.008614
                     17,                 0.9314,                 1.5247,                 1.4119,                0.31345,                0.37238,                0.32835,                0.22154,                 1.1976,                 2.5708,                 1.9459,               0.008515,               0.008515,               0.008515
                     18,                0.92028,                 1.4856,                 1.4151,                0.43065,                0.41027,                0.36214,                0.22459,                 1.2754,                 2.2355,                 1.8723,               0.008416,               0.008416,               0.008416
                     19,                0.88857,                 1.5131,                 1.3672,                0.35237,                0.42332,                0.36234,                0.27085,                 1.0929,                  2.427,                 1.7764,               0.008317,               0.008317,               0.008317
                     20,                 0.8745,                 1.4155,                 1.3648,                0.46591,                0.51071,                0.49147,                0.35359,                 1.0578,                 1.9318,                 1.6919,               0.008218,               0.008218,               0.008218
                     21,                0.85227,                  1.396,                 1.3358,                 0.4149,                0.51972,                0.49218,                0.37991,                0.98014,                 1.9325,                 1.6607,               0.008119,               0.008119,               0.008119
                     22,                0.85478,                 1.3436,                 1.3332,                 0.5968,                0.53003,                0.56218,                0.41678,                 1.0294,                 1.7362,                 1.7031,                0.00802,                0.00802,                0.00802
                     23,                0.84306,                   1.34,                 1.3369,                0.51636,                0.60697,                0.61428,                0.47233,                0.93363,                 1.4051,                 1.5635,               0.007921,               0.007921,               0.007921
                     24,                0.84672,                 1.3225,                 1.3342,                0.49488,                0.50305,                0.49299,                0.36007,                 1.0623,                 2.0832,                 1.6957,               0.007822,               0.007822,               0.007822
